Key,Council_District,Highest_Offense_Desc,Highest_NIBRS_UCR_Offense_Description,Report_Date,Location,Clearance_Status,Clearance_Date,District,Zip_Code_Crime,Census_Tract,X_Coordinate,Y_Coordinate,Zip_Code_Housing,Populationbelowpovertylevel,Medianhouseholdincome,Non-WhiteNon-HispanicorLatino,HispanicorLatinoofanyrace,Populationwithdisability,Unemployment,Largehouseholds(5+members),Homesaffordabletopeopleearninglessthan$50000,Rentalsaffordabletopeopleearninglessthan$25000,Rent-restrictedunits,HousingChoiceVoucherholders,Medianrent,Medianhomevalue,Percentageofrentalunitsinpoorcondition,Percentchangeinnumberofhousingunits2000-2012,Ownerunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageretail/serviceworker,Rentalunitsaffordabletoaverageartist,Ownerunitsaffordabletoaverageartist,Rentalunitsaffordabletoaverageteacher,Ownerunitsaffordabletoaverageteacher,Rentalunitsaffordabletoaveragetechworker,Ownerunitsaffordabletoaveragetechworker,Changeinpercentageofpopulationbelowpoverty2000-2012,Changeinmedianrent2000-2012,Changeinmedianhomevalue2000-2012,Percentageofhomeswithin1/4-mioftransitstop,Averagemonthlytransportationcost,Percentageofhousingandtransportationcoststhatistransportation-related
20155033212,6,THEFT BY SHOPLIFTING,Theft,29-Jul-15,14010 N US 183 HWY SVRD SB,N,7-Aug-15,A,78613,203.18,3094143,10145100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20152101553,9,THEFT BY SHOPLIFTING,Theft,29-Jul-15,1201 BARBARA JORDAN BLVD,N,3-Aug-15,B,78723,3.06,3124602,10084923,78723,29%,$41869,27%,46%,10%,10%,13%,33%,22%,20%,7%,$817,$176500,1.3%,13%,1%,18%,44%,4%,82%,28%,99%,83%,49%,28%,107%,84%,$668,43%
20152101363,5,THEFT BY SHOPLIFTING,Theft,29-Jul-15,9300 S IH 35 SVRD SB,C,7-Aug-15,F,78748,24.21,3100423,10033116,78748,9%,$65889,10%,35%,9%,6%,8%,29%,4%,7%,3%,$1095,$185500,0.6%,74%,0%,4%,12%,0%,63%,22%,100%,92%,260%,29%,58%,40%,$747,44%
20155033203,7,THEFT BY SHOPLIFTING,Theft,29-Jul-15,5002 N LAMAR BLVD,N,31-Jul-15,B,78756,2.05,3117570,10089150,78756,9%,$59685,8%,9%,12%,4%,2%,20%,17%,6%,0%,$888,$342300,0.6%,8%,2%,13%,34%,3%,76%,19%,99%,37%,-20%,47%,99%,90%,$550,40%
20152101659,7,THEFT BY SHOPLIFTING,Theft,29-Jul-15,2525 W ANDERSON LN,C,30-Jul-15,B,78757,15.01,3116494,10102601,78757,16%,$55156,5%,25%,10%,6%,5%,21%,8%,4%,1%,$895,$253300,0.7%,10%,2%,6%,32%,8%,75%,21%,100%,56%,103%,24%,93%,79%,$590,36%
20152101940,5,THEFT BY SHOPLIFTING,Theft,29-Jul-15,9300 S IH 35 SVRD SB,C,7-Aug-15,F,78748,24.21,3100423,10033116,78748,9%,$65889,10%,35%,9%,6%,8%,29%,4%,7%,3%,$1095,$185500,0.6%,74%,0%,4%,12%,0%,63%,22%,100%,92%,260%,29%,58%,40%,$747,44%
20152101294,8,THEFT BY SHOPLIFTING,Theft,29-Jul-15,5017 W US 290 HWY EB,,,D,78749,17.5,3089187,10057161,78749,6%,$80956,13%,20%,7%,4%,7%,5%,1%,1%,0%,$1150,$233900,0.3%,32%,0%,1%,6%,0%,57%,3%,97%,70%,171%,25%,61%,37%,$708,40%
20152092086,10,BURGLARY OF VEHICLE,Theft,29-Jul-15,11901 PAVILION BLVD,C,4-Aug-15,A,78759,25,3109343,10127585,78759,7%,$65672,18%,11%,8%,7%,2%,13%,3%,1%,0%,$962,$307800,0.2%,1%,2%,2%,18%,3%,75%,13%,99%,45%,60%,7%,60%,28%,$629,40%
20155033178,4,BURGLARY OF VEHICLE,Theft,29-Jul-15,9905 N LAMAR BLVD,N,5-Aug-15,E,78753,18.23,3129141,10107657,78753,26%,$39593,20%,60%,10%,9%,16%,78%,14%,17%,4%,$826,$134900,0.7%,19%,8%,11%,40%,24%,89%,75%,100%,98%,128%,26%,40%,59%,$708,44%
20155033173,5,THEFT FROM AUTO,Theft,29-Jul-15,2717 S LAMAR BLVD,N,5-Aug-15,D,78704,20.05,3102435,10061767,78704,21%,$50248,7%,30%,9%,7%,3%,13%,12%,13%,1%,$940,$338200,0.4%,9%,0%,11%,26%,2%,76%,13%,99%,33%,33%,40%,126%,76%,$629,33%
20155033281,10,BURGLARY OF VEHICLE,Theft,29-Jul-15,10114 JOLLYVILLE RD,N,4-Aug-15,A,78759,17.22,3110888,10117037,78759,7%,$65672,18%,11%,8%,7%,2%,13%,3%,1%,0%,$962,$307800,0.2%,1%,2%,2%,18%,3%,75%,13%,99%,45%,60%,7%,60%,28%,$629,40%
20155033169,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,7428 BONNIEBROOK DR,N,30-Jul-15,D,78735,19.079999999999998,3073372,10063057,78735,6%,$74571,9%,20%,7%,4%,10%,8%,4%,5%,1%,$1122,$379900,0.1%,64%,2%,4%,7%,2%,62%,5%,97%,23%,96%,4%,85%,9%,$747,38%
20155033181,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,7917 TUSMAN DR,N,30-Jul-15,D,78735,19.079999999999998,3070972,10062980,78735,6%,$74571,9%,20%,7%,4%,10%,8%,4%,5%,1%,$1122,$379900,0.1%,64%,2%,4%,7%,2%,62%,5%,97%,23%,96%,4%,85%,9%,$747,38%
20155033126,8,BURGLARY OF VEHICLE,Theft,29-Jul-15,7817 TUSMAN DR,N,5-Aug-15,D,78735,19.079999999999998,3071411,10063402,78735,6%,$74571,9%,20%,7%,4%,10%,8%,4%,5%,1%,$1122,$379900,0.1%,64%,2%,4%,7%,2%,62%,5%,97%,23%,96%,4%,85%,9%,$747,38%
20152100668,5,BURGLARY OF VEHICLE,Theft,29-Jul-15,5700 MANCHACA RD,N,5-Aug-15,D,78745,17.13,3096853,10051103,78745,16%,$49243,7%,40%,11%,7%,6%,33%,8%,7%,2%,$990,$166200,0.7%,21%,1%,6%,24%,3%,72%,29%,99%,96%,73%,30%,83%,76%,$668,35%
20155033273,1,BURGLARY OF VEHICLE,Theft,29-Jul-15,2816 E 12TH ST,N,26-Aug-15,C,78702,8.02,3124683,10073777,78702,33%,$34734,18%,56%,14%,11%,10%,21%,41%,39%,2%,$766,$175400,2.2%,15%,0%,39%,51%,2%,80%,15%,99%,67%,3%,73%,207%,96%,$590,39%
20155033132,5,BURGLARY OF VEHICLE,Theft,29-Jul-15,2507 MARCUS ABRAMS BLVD,N,30-Jul-15,F,78748,17.739999999999998,3084100,10027948,78748,9%,$65889,10%,35%,9%,6%,8%,29%,4%,7%,3%,$1095,$185500,0.6%,74%,0%,4%,12%,0%,63%,22%,100%,92%,260%,29%,58%,40%,$747,44%
20155033227,1,BURGLARY OF VEHICLE,Theft,29-Jul-15,4804 HEFLIN LN,N,25-Aug-15,C,78721,21.09,3133946,10077336,78721,32%,$32131,36%,52%,17%,16%,14%,61%,26%,47%,10%,$870,$121000,2%,35%,12%,25%,39%,22%,84%,57%,100%,95%,36%,62%,113%,87%,$668,40%
